,Title,Interventions,Phases
709,drug drug interaction study ofatumumab bendamustine subjects indolent b cell non hodgkin lymphoma,drug  ofatumumab drug  bendamustin,phase 1
710,ofatumumab bendamustine followed maintenance ofatumumab rituximab relapsed indolent b cell non hodgkin lymphoma  b nhl ,biological  ofatumumab drug  bendamustin,phase 2
711,phase trial di b4 patients advanced cd19 positive indolent b cell malign,drug  di b4,phase 1
712,safety ibritumomab tiuxetan  zevalin®  combination fludarabine based reduced intensity conditioning  ric  regimen  zevallo 2007 ,drug  ibritumomab tiuxetan  zevalin ,phase 2
713,chimeric antigen receptor cells  cart  therapy refractory relapsed b cell hematologic malign,biological  cd19cart,applicable
714,high dose therapy autologous stem cell transplantation followed infusion chimeric antigen receptor  car  modified cells directed cd19  b cells relapsed refractory aggressive b cell non hodgkin lymphoma,drug  carmustine drug  etoposide drug  cytarabine drug  melphalan biological  pegfilgrastim biological  19 28z cells procedure  autologous stem cell transplant,phase 1
715,rituximab denileukin diftitox treating patients previously untreated stage iii stage iv follicular b cell non hodgkin lymphoma,biological  denileukin diftitox biological  rituximab,phase 2
716,communication skills intervention promote transition survivorship,nan,nan
717,90 ibritumomab tiuxetan  rituximab relapsed refractory diffuse large b cell non hodgkin lymphoma,biological  rituximab drug  cytarabine drug  liposomal cytarabine radiation  yttrium 90 ibritumomab tiuxetan,phase 2
718,combination chemotherapy rituximab treating patients newly diagnosed aids related b cell non hodgkin lymphoma,biological  filgrastim biological  pegfilgrastim biological  rituximab biological  sargramostim drug  cyclophosphamide drug  pegylated liposomal doxorubicin hydrochloride drug  prednisone drug  vincristine sulfate immunohistochemistry staining method laboratory biomarker analysi,phase 2
719,study evaluate efficacy safety treatment bendamustine combination ofatumumab previously untreated patients indolent b cell non hodgkin lymphoma  nhl ,drug  bendamustine hydrochloride drug  ofatumumab,phase 2
720,prospective comparison fdg pet mr fdg pet ct classical hodgkin lymphoma dlbc non hodgkin lymphoma,nan,nan
721,safety tolerability study sns01 relapsed refractory b cell malignancies  multiple myeloma  b cell lymphoma  plasma cell leukemia  pcl ,biological  sns01 ,phase 1 phase 2
722,pxd101 treating patients relapsed refractory aggressive b cell non hodgkin lymphoma,drug  belinostat,phase 2
723,multi dose escalation safety pharmacokinetic study sar3419 single agent relapsed refractory b cell non hodgkin lymphoma,drug  sar3419,phase 1
724,observation patients diffuse large b cell non hodgkin lymphoma treated clinical trial ncic ly9,clinical observation procedure  management therapy compl,nan
725,rituximab  cyclophosphamide  vincristine sulfate  prednisone without liposome encapsulated doxorubicin citrate treating older patients stage ii  stage iii  stage iv diffuse large b cell non hodgkin lymphoma,biological  filgrastim biological  pegfilgrastim biological  rituximab drug  cyclophosphamide drug  liposome encapsulated doxorubicin citrate drug  prednisone drug  vincristine sulf,phase 2
726,combination chemotherapy rituximab pegfilgrastim followed rituximab  large b cell non hodgkin lymphoma,drug  cyclophosphamide drug  mitoxantrone drug  vincristine drug  prednisone drug  rituximab,phase 2
727,study sgn 40 combination rituximab patients cd20 positive  follicular marginal zone b cell non hodgkin lymphoma,drug  rituximab drug  sgn 40,phase 1
728,antiviral agent harvoni® treatment hcv associated indolent b cell lymphoma,drug  ledipasvir sofosbuvir,phase 2
729,decrease fatigue light therapi,device  light therapy intensity 1 device  light therapy intensity 2,phase 3
730,comprehensive geriatric assessment predict toxic events older patients non hodgkin lymphoma imbedded pilot study pre phase therapi,drug  rituximab drug  prednisone behavioral  geriatric assess,applicable
731,study acalabrutinib alone combination rituximab indolent b cell non hodgkin lymphoma,drug  acalabrutinib drug  rituximab  iv ,phase 1 phase 2
732,phase 1 study sb1518 treatment advanced lymphoid malign,drug  sb1518,phase 1
733,maintenance rituximab mtor inhibition high dose consolidative therapy lymphoma,drug  everolimus rituximab,phase 2
734,active specific immunotherapy follicular lymphomas tumor derived immunoglobulin idiotype antigen vaccin,drug  id klh vaccine drug  gm csf,phase 1
735,yttrium 90 ibritumomab tiuxetan  rituximab  indium 111 ibritumomab tiuxetan  fludarabine  melphalan  donor stem cell transplant treating patients b cell non hodgkin lymphoma,biological  rituximab drug  fludarabine phosphate drug  melphalan drug  sirolimus drug  tacrolimus procedure  allogeneic hematopoietic stem cell transplantation radiation  indium 111 ibritumomab tiuxetan radiation  yttrium 90 ibritumomab tiuxetan laboratory biomarker analysi,phase 2
736,study 5 azacitidine combination vorinostat patients relapsed refractory diffuse large b cell lymphoma  dlbcl ,drug  azacytidine drug  vorinostat,phase 1 phase 2
737,clinical study syb l 0501 patients indolent b cell non hodgkin lymphoma mantle cell lymphoma,drug  bendamustine hydrochlorid,phase 2
738,azd6738 first time patient multiple ascending dose studi,drug  administration azd6738,phase 1
739,memory enriched cells following stem cell transplant treating patients recurrent b cell non hodgkin lymphoma,biological  autologous cd19car cd28 cd3zeta egfrt expressing tcm enriched cells biological  autologous cd19car cd28 cd3zeta egfrt expressing tn mem enriched lymphocytes laboratory biomarker analysi,phase 1
740,rituximab combination chemotherapy treating older patients diffuse large b cell lymphoma,biological  filgrastim biological  pegfilgrastim biological  rituximab drug  cyclophosphamide drug  pegylated liposomal doxorubicin hydrochloride drug  prednisone drug  vincristine sulf,phase 2
741,ofatumumab bendamustine combination therapy compared bendamustine monotherapy indolent b cell non hodgkin lymphoma  nhl  unresponsive rituximab rituximab containing regimen,drug  ofatumumab bendamustine infusions  arm drug  bendamustine infusion  arm b ,phase 3
742,rituximab combination chemotherapy without radiation therapy treating patients b cell non hodgkin lymphoma,biological  filgrastim biological  rituximab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  prednisone drug  vincristine sulfate radiation  radiation therapi,phase 3
743,epirubicin rituximab treating patients relapsed refractory b cell non hodgkin lymphoma chronic lymphocytic leukemia,biological  rituximab drug  epirubicin hydrochlorid,phase 2
744,combination chemotherapy rituximab treating patients diffuse large b cell non hodgkin lymphoma,biological  pegfilgrastim biological  rituximab drug  cyclophosphamide drug  cytarabine drug  doxorubicin hydrochloride drug  etoposide phosphate drug  ifosfamide drug  leucovorin calcium drug  methotrexate drug  vincristine sulf,phase 2
745,vaccination follicular lymphomas tumor derived immunoglobulin idiotyp,drug  id klh vaccine drug  qs 21  stimulation qs 21  drug,phase 1
746,cd19 cd22 chimeric antigen receptor cells chemotherapy treating patients recurrent refractory cd19 positive diffuse large b cell lymphoma b acute lymphoblastic leukemia,biological  chimeric antigen receptor cell therapy drug  cyclophosphamide drug  fludarabine phosphate laboratory biomarker analysis questionnaire administr,phase 1
747,yttrium 90 ibritumomab tiuxetan plus high dose beam followed asct relapsed b cell non hodgkin lymphoma,biological  rituximab drug  carmustine drug  cytarabine drug  etoposide drug  melphalan procedure  asct radiation  yttrium 90 ibritumomab tiuxetan,phase 2
748,study blinatumomab patients pre b cell b cell nhl post allo hsct remission mainten,drug  blinatumomab drug  dexamethason,early phase 1
749,lenalidomide without rituximab standard chemotherapy treating patients diffuse large b cell non hodgkin lymphoma,drug  lenalidomide drug  rituximab,phase 2
750,pivotal study iodine 131 tositumomab chemotherapy refractory low grade transformed low grade b cell non hodgkin lymphoma,biological  tositumomab iodine 131 tositumomab,phase 2
751,rituximab treating patients undergoing donor peripheral blood stem cell transplant relapsed refractory b cell lymphoma,biological  rituximab procedure  peripheral blood stem cell transplantation procedure  nonmyeloablative allogeneic hematopoietic stem cell transplantation pharmacological study laboratory biomarker analysi,phase 2
752,ibrutinib  rituximab  etoposide  prednisone  vincristine sulfate  cyclophosphamide  doxorubicin hydrochloride treating patients hiv positive stage ii iv diffuse large b cell lymphoma,drug  cyclophosphamide drug  doxorubicin hydrochloride drug  etoposide biological  filgrastim drug  ibrutinib laboratory biomarker analysis biological  pegfilgrastim pharmacological study drug  prednisone biological  rituximab drug  vincristine sulf,phase 1
753,fr901228 alone combined rituximab fludarabine treating patients relapsed refractory low grade b cell non hodgkin lymphoma,drug  romidepsin biological  rituximab drug  fludarabine phosphate laboratory biomarker analysi,phase 2
754,study two associations rituximab chemotherapy  pet driven strategy  lymphoma,drug  r chop14 induction regimen drug  r acvbp14 induction regimen,phase 2
755,safety efficacy study dual pi3k delta gamma inhibitor hematological malign,drug  rp6530,phase 1
756,study vorinostat  mk0683  follicular lymphoma  fl   indolent b cell non hodgkin lymphoma  b nhl  mantle cell lymphoma  mcl  patients  mk 0683 103 ,drug  vorinostat,phase 2
757,onalespib treating patients relapsed refractory anaplastic large cell lymphoma  mantle cell lymphoma  diffuse large b cell lymphoma,laboratory biomarker analysis drug  onalespib,phase 2
758,efficacy safety study idelalisib subjects indolent b cell non hodgkin lymphoma,drug  idelalisib,phase 2
759,study mdx 1203 subjects advanced recurrent clear cell renal cell carcinoma  ccrcc  relapsed refractory b cell non hodgkin lymphoma  b nhl ,biological  mdx 1203,phase 1
760,study bruton tyrosine kinase inhibitor combination rituximab previously untreated subjects follicular lymphoma,drug  ibrutinib drug  rituximab,phase 2
761,phase ii study intratumoral injection sd 101,biological  ipilimumab drug  sd 101 radiation  radiation therapi,phase 1 phase 2
762,pembrolizumab alone idelalisib ibrutinib treating patients relapsed refractory chronic lymphocytic leukemia low grade b cell non hodgkin lymphoma,drug  ibrutinib drug  idelalisib laboratory biomarker analysis biological  pembrolizumab,phase 2
763,proclaim cx 2029  trial find safe active doses investigational drug cx 2029 patients solid tumors dlbcl,drug  cx 2029,phase 1 phase 2
764,safety study cat 8015 treat advanced b cell non hodgkin lymphoma chronic lymphocytic leukemia  nhl cll ,drug  cat 8015 20 mcg kg drug  cat 8015 30 mcg kg drug  cat 8015 40 mcg kg drug  cat 8015 50 mcg kg drug  cat 8015 60 mcg kg,phase 1 phase 2
765,safety  tolerability  pharmacokinetics idelalisib japanese adults relapsed refractory indolent b cell non hodgkin lymphomas chronic lymphocytic leukemia,drug  idelalisib,phase 1
766,pembro   blina combination pediatric young adult patients relapsed refractory acute leukemia lymphoma,drug  blinatumomab drug  pembrolizumab,phase 1
767,velcade rituximab cyclophosphamide decadron,drug  velcade® drug  rituximab drug  cyclophosphamide drug  decadron,phase 2
768,bryostatin 1 rituximab treating patients b cell non hodgkin lymphoma chronic lymphocytic leukemia,biological  rituximab drug  bryostatin 1,phase 2
769,cells expressing fully human anticd19 chimeric antigen receptor treating b cell malign,biological  anti cd19 car cells drug  cyclophosphamide drug  fludarabin,phase 1
770,assessment cellular proliferation tumors positron emission tomography  pet  using  18f iso 1,radiation  pet ct laboratory testing safety testing immunohistochemistry staining drug  f 18 iso,phase 1
771,factors influencing hepatitis b virus reactivation lymphoma patients treated rituximab,nan,nan
772,mgcd0103 administered combination azacitidine  vidaza®  subjects relapsed refractory hodgkin non hodgkin lymphoma,drug  mgcd0103 azacitidin,phase 2
773,velcade malt lymphoma pretreated prior systemic therapi,drug  bortezomib  drug ,phase 2
774,study safety pharmacokinetics escalating doses dcdt2980s patients relapsed refractory b cell non hodgkin lymphoma chronic lymphocytic leukemia dcdt2980s combination rituximab patients relapsed refractory b cell non hodgkin lymphoma,drug  dcdt2980s drug  rituximab,phase 1
775,study escalating doses polatuzumab vedotin participants relapsed refractory b cell non hodgkins lymphoma chronic lymphocytic leukemia polatuzumab vedotin combination rituximab participants relapsed refractory b cell non hodgkins lymphoma,drug  polatuzumab vedotin drug  rituximab,phase 1
776,velcade malt lymphoma pretreated one prior systemic therapi,drug  bortezomib  drug ,phase 2
777,randomized trial chlorambucil versus chlorambucil plus rituximab versus rituximab malt lymphoma,drug  chlorambucil  drug  drug  rituximab chlorambucil drug  rituximab,phase 3
778,phase 1 2 study vsli plus rituximab patients relapsed refractory nhl,drug  vincristine sulfate liposome injection plus rituximab,phase 1 phase 2
779,safety efficacy study cnto 328 patients b cell non hodgkin lymphoma  multiple myeloma  castleman disea,drug  cnto 328,phase 1
780,vincristine sulfate liposome injection  marqibo®   bendamustine rituximab—phase trial indolent b cell lymphoma,drug  rituximab drug  bendamustine drug  vincristine sulfate liposome inject,phase 1
781,bortezomib flavopiridol treating patients recurrent refractory indolent b cell neoplasm,drug  bortezomib drug  alvocidib hydrochloride pharmacological studi,phase 1
782,study investigate idelalisib combination chemotherapeutic agents  immunomodulatory agents anti cd20 monoclonal antibody  mab  subjects relapsed refractory indolent b cell non hodgkin lymphoma  mantle cell lymphoma chronic lymphocytic leukemia,drug  idelalisib drug  rituximab drug  bendamustine drug  ofatumumab drug  fludarabine drug  everolimus drug  bortezomib drug  chlorambucil drug  lenalidomid,phase 1
783,blood immunophenotyping staging indolent b cell lymphomas v1 0,nan,nan
784,role cx3cr1 expressing cells hematologic malign,nan,nan
785,study 401 subjects cll sll  fl  b cell non hodgkin lymphoma,drug  401 drug  rituximab,phase 1
786,rituxan bendamustine pci 32765 relapsed dlbcl  mcl  indolent non hodgkin lymphoma,drug  btk inhibitor pci 32765 biological  rituximab drug  bendamustine hydrochloride pharmacogenomic studies pharmacological study laboratory biomarker analysi,phase 1
787,s8516 s8736 s9125 s9240 research study genes tissue samples patients b cell non hodgkin lymphoma,genetic  polymorphism analysis laboratory biomarker analysis pharmacogenomic studi,nan
788,depocyt active lymphomatous leukemic men,drug  cytarabine liposome inject,phase 2
789,obinutuzumab treating patients central nervous system lymphoma achieved complete respon,procedure  cognitive assessment biological  obinutuzumab quality life assess,phase 2
790,phase trial azd3965 patients advanced canc,drug  azd3965,phase 1
791,thalidomide maintenance treatment dlbcl,drug  thalidomide observ,phase 3
792,cd19 targeting car cells relapsed refractory cd19 positive b cell malign,biological  cd19 car ,phase 1
793,value mechanisms monocytes subpopulations predicting prognosis lymphoma,nan,nan
794,gemcitabine marginal zone lymphoma,drug  gemcitabin,phase 2
795,cells expressing anti cd19 car pediatric young adults b cell malign,biological  cd19 car cel,phase 1 phase 2
796,safety study sgn cd19a b cell lymphoma,drug  sgn cd19a,phase 1
797,cd34  selected asct aggressive lymphoma,procedure  cd34  cell select,phase 2
798,study evaluate efficacy tolerance r gemox dlbcl mcl,drug  rituximab  gemcitabine  oxaliplatin  dexametason,phase 2
799,oblimersen sodium rituximab treating patients recurrent b cell non hodgkin lymphoma,biological  oblimersen sodium biological  rituximab laboratory biomarker analysi,phase 2
800,cmv induced changes nk lymphocyte biology influence effectiveness antibody therapy used treat b cell lymphoproliferative diseases ,nan,nan
801,first time humans  ftih  study gsk3368715 subjects solid tumors diffuse large b cell lymphoma  dlbcl ,drug  gsk3368715,phase 1
802,multiple ascending dose study medi7247 patients selected relapsed refractory hematological malign,drug  medi7247,phase 1
803,p53 p16 independent epigenetic therapy oral decitabine tetrahydrouridine refractory relapsed lymphoid malign,drug  decitabine drug  tetrahydrouridin,early phase 1
804,yttrium 90 ibritumomab tiuxetan  fludarabine  radiation therapy  donor stem cell transplant treating patients relapsed refractory non hodgkin lymphoma,biological  rituximab drug  cyclosporine drug  fludarabine phosphate drug  mycophenolate mofetil radiation  yttrium 90 ibritumomab tiuxetan procedure  peripheral blood stem cell transplantation procedure  allogeneic hematopoietic stem cell transplantation radiation  total body irradi,phase 2
805,combination pentostatin  bendamustine ofatumumab treatment chronic lymphocytic leukemia lymphoma,drug  bendamustine drug  pentostatin drug  ofatumumab,phase 1
806,safety efficacy study dual specificity cd19 cd22 car cell immunotherapy relapsed refractory lymphoma,drug  dual specificity cd19 cd22 car cell immunotherapi,phase 1
807,1630gcc  zydelig maintenance b cell non hodgkin lymphoma autologous stem cell transpl,drug  zydelig,phase 2
808,rituximab interleukin 12 treating patients b cell non hodgkin lymphoma,biological  rituximab biological  recombinant interleukin 12 laboratory biomarker analysis questionnaire administration procedure  quality life assess,phase 2
809,cd19 targeted car cell therapy mrd  b cell malignancies autologous stem cell transpl,biological  cd19 targeted car cel,applicable
810,phase ii study chlorambucil subcutaneous rituximab patients extranodal malt lymphoma,drug  chlorambucil drug  rituximab v  drug  rituximab c ,phase 2
811,ofatumumab bortezomib patients low grade b cell non hodgkin lymphoma relapse rituximab,drug  ofatumumab bortezomib,phase 2
812,mdx 010 treating patients recurrent refractory lymphoma,biological  ipilimumab laboratory biomarker analysi,phase 1 phase 2
813,phase ii study ontak previously treated patients low grade non hodgkin lymphoma  nhl ,drug  ontak,phase 2
814,phase ii study pembrolizumab patients failing respond relapsing anti cd19 chimeric antigen receptor modified cell therapy relapsed refractory cd19  lymphoma,drug  pembrolizumab,phase 1 phase 2
815,phase ii study ofatumumab plus ifosfamide  carboplatin  etoposide  ice  dexamethasone  cytarabine  cisplatin  dhap  chemotherapy regimen relapsed  refractory diffuse large b cell lymphoma  dlbcl ,drug  ofatumumab   ice drug  ofatumumab   dhap,phase 2
816,phase ii open label trial determine safety   efficacy tisagenlecleucel pediatric non hodgkin lymphoma pati,biological  tisagenlecleucel,phase 2
817,pnt2258 treatment patients r r dlbcl  wolverine ,drug  pnt2258,phase 2
818,durvalumab dlbcl autologous transpl,drug  durvalumab,phase 2
819,goal  ga101 plus pixantrone relapsed aggressive lymphoma,drug  obinutuzumab pixantron,phase 2
820,memory enriched car cells immunotherapy b cell lymphoma,drug  cd19 car cel,phase 1 phase 2
821,iodine 131 tositumomab fludarabine phosphate treating older patients undergoing autologous syngeneic stem cell transplant relapsed refractory non hodgkin lymphoma,drug  fludarabine phosphate procedure  peripheral blood stem cell transplantation radiation  iodine 131 tositumomab laboratory biomarker analysis flow cytometry genetic  polymerase chain react,phase 1
822,clinical study evaluating safety efficacy bind19 treatment r r lymphoma subject,biological  bind19,phase 1 phase 2
823,combination obinutuzumab venetoclax relapsed refractory dlbcl,drug  venetoclax drug  obinutuzumab,phase 2
824,ruxolitinib phosphate treating patients relapsed refractory diffuse large b cell peripheral cell non hodgkin lymphoma donor stem cell transpl,laboratory biomarker analysis drug  ruxolitinib phosph,phase 2
825,mb cart20 1 lymphoma,biological  mb cart20 1,phase 1 phase 2
826,investigation human immune response normal subjects patients disorders immune system canc,nan,nan
827,phase 1b open label study evaluate safety efficacy cc 122 obinutuzumab  ga101  relapsed refractory dlbcl inhl ,drug  obinutuzumab drug  cc 122,phase 1
828,clinical study evaluating safety efficacy bind19 treatment childhood r r lymphoma subject,biological  bind19,phase 1 phase 2
829,emd 521873 advanced solid tumors  mtd find,biological  emd 521873,phase 1
830,combination chemo  rituximab  bevacizumab older patients stage ii iv diffuse large b cell lymphoma,biological  rituximab biological  bevacizumab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  vincristine sulfate drug  prednisone laboratory biomarker analysi,phase 2
831,bendamustine hydrochloride  rituximab  etoposide  carboplatin treating patients relapsed refractory diffuse large b cell lymphoma hodgkin lymphoma,drug  bendamustine hydrochloride drug  carboplatin biological  rituximab drug  etoposide laboratory biomarker analysi,phase 1 phase 2
832,comparison study doxorubicin versus epirubicin induced cardiotoxicity patients dlbcl,drug  ceop regimen drug  chop regimen,phase 3
833,study evaluate safety tolerability xmab13676 patients cd20 expressing hematologic malign,biological  xmab13676,phase 1
834,dendritic cell vaccine treating patients indolent b cell lymphoma multiple myeloma,biological  autologous lymphoma cell lysate pulsed autologous dendritic cell vaccine biological  autologous lymphoma cell allogeneic dendritic cell electrofusion hybrid vaccine biological  autologous lymphoma cell autologous dendritic cell electrofusion hybrid vaccin,phase 1 phase 2
835,study evaluate safety efficacy combination mk 4280 pembrolizumab  mk 3475  participants hematologic malignancies  mk 4280 003 ,biological  pembrolizumab biological  mk 4280,phase 1 phase 2
836,r acvbp da epoch r patients non gcb dlbcl,drug  rituximab drug  etoposide drug  doxorubicin drug  vincristine drug  cyclophosphamide drug  prednisone drug  vindesine drug  bleomycin,phase 3
837,alisertib combination vorinostat treating patients relapsed recurrent hodgkin lymphoma  b cell non hodgkin lymphoma  peripheral cell lymphoma,drug  alisertib laboratory biomarker analysis pharmacological study drug  vorinostat,phase 1
838,bms pd l1 onco   assessment pd l1 protein biomarker oncology hematolog,nan,nan
839,immunotherapy bispecific car cells b cell lymphoma  cl,biological  anti cd19 anti cd20 bispecific car ,phase 1
840,immunotherapy cd19 car cells b cell lymphoma  cl,biological  anti cd19 car,phase 1
841,biomarker driven intensified chemoimmunotherapy early cns prophylaxi,combination product  r choep combination product  da epoch r,phase 2
842,immunotherapy cd19 car γδt cells b cell lymphoma  cl,biological  anti cd19 car γδt,phase 1
843,alisertib  bortezomib  rituximab treating patients relapsed refractory mantle cell lymphoma b cell low grade non hodgkin lymphoma,drug  alisertib drug  bortezomib laboratory biomarker analysis biological  rituximab,phase 1
844,prospective data collection elderly patients dlbcl receiving time diagnosis vgm,nan,nan
845,phase ii study ga101 dhap induction therapy relapsed refractory dlbcl pati,drug  ga101 dhap,phase 2
846,cart 19 immunotherapy mantle cell lymphoma,biological  anti cd19 car vector transduced cel,phase 1 phase 2
847,cart19 cells treatment mrd b cell malignancies auto hsct,biological  cart19 cell auto hsct,phase 1
848,anti cd19 white blood cells children young adults b cell leukemia lymphoma,biological  anti cd19  car,phase 1
849,autologous transplant hiv patients  bmt ctn 0803 ,procedure  autologous transplant drug  bcnu drug  etoposide drug  cytarabine drug  melphalan,phase 2
850,rituximab bendamustine elderly patients elderly medically non fit patients aggressive b cell lymphoma,drug  bendamustine subcutaneous rituximab,phase 2
851,determine dose bi 836826 gemox efficacy bi 836826 gemox versus r gemox patients relapsed refractory dlbcl,drug  bi 836826 drug  gemox drug  rituximab,phase 2
852,trial define safety tolerability sgn 40  rituximab  gemcitabine patients dlbcl,drug  sgn 40 drug  rituximab drug  gemcitabin,phase 1
853,evaluation atezolizumab venetoclax obinutuzumab combination relapse refractory lymphoma,drug  atezolizumab drug  obinutuzumab drug  venetoclax,phase 2
854,ofatumumab bortezomib subjects relapsed cd20 diffuse large b cell  follicular  mantle cell lymphoma,biological  ofatumumab drug  bortezomib,phase 2
855,randomized phase iib placebo controlled study r ice chemotherapy without sgn 40 patients dlbcl,drug  sgn 40 drug  placebo drug  rituximab drug  etoposide drug  carboplatin drug  ifosfamid,phase 2
856,platform study treatment relapsed refractory aggressive non hodgkin lymphoma  prism study ,drug  azd9150 drug  acalabrutinib drug  azd6738,phase 1
857,rituximab plus interleukin 2 treating patients lymphoma,biological  aldesleukin biological  rituximab,phase 1 phase 2
858,dose adjusted epoch chemotherapy rituximab  cd20   previously untreated aggressive non hodgkin lymphoma,drug  epoch biological  rituximab,phase 2
859,zevalin beam rituximab vs beam rituximab without rituximab autologous stem cell transpl,drug  zevalin drug  carmustine drug  etoposide drug  cytarabine drug  melphalan drug  rituximab procedure  stem cell transpl,phase 2
860,chemotherapy patients lymphoma,drug  enzastaurin drug  gemcitabine drug  rituximab drug  oxaliplatin,phase 2
861,rituximab  cyclophosphamide  g csf followed combination chemotherapy treating patients undergoing autologous stem cell transplant followed rituximab gm csf refractory diffuse large b cell lymphoma,biological  filgrastim biological  rituximab biological  sargramostim drug  carmustine drug  cyclophosphamide drug  etoposide procedure  adjuvant therapy procedure  bone marrow ablation stem cell support procedure  peripheral blood stem cell transplant,phase 2
862,rituximab combined eshap patients relapse refractory diffuse large b cell lymphoma  dlbcl ,drug  rituximab combined eshap,phase 2
863,bortezomib rituximab treating patients non hodgkin lymphoma,drug  bortezomib   rituximab,phase 2
864,study trifunctional antibody fbta05 donor lymphocyte infusion b cell lymphoma allogeneic stem cell transpl,drug  fbta05,phase 1 phase 2
865,combination chemotherapy  rituximab  yttrium 90 ibritumomab tiuxetan treating patients newly diagnosed large b cell lymphoma,biological  rituximab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  prednisone drug  vincristine sulfate radiation  yttrium 90 ibritumomab tiuxetan,phase 2
866,beta alethine treating patients low grade lymphoma,drug  beta alethin,phase 1 phase 2
867,bortezomib romidepsin patients chronic lymphocytic leukemia small lymphocytic lymphoma,drug  bortezomib drug  romidepsin,phase 1
868,safety  tolerability  pharmacokinetics shc014748m patients indolent b cell hematologic malign,drug  shc014748m,phase 1
869,rituximab liposomal doxorubicin treating patients relapsed refractory non hodgkin lymphoma,biological  rituximab drug  pegylated liposomal doxorubicin hydrochlorid,phase 1 phase 2
870,retrospective review gemcitabine  methylprednisolone cisplatin  gem p  without rituximab patients relapsed refractory diffuse large b cell lymphoma  dlbcl ,drug  gemcitabine drug  cisplatinum drug  rituximab,nan
871,ixazomib citrate rituximab treating patients indolent b cell non hodgkin lymphoma,drug  ixazomib citrate laboratory biomarker analysis biological  rituximab,phase 2
872,study comparing zevalin regimen treatment dlbcl patients complete remission chop r,drug  zevalin therapeutic regimen observ,phase 3
873,rituximab combination chemotherapy treating patients non hodgkin lymphoma,biological  rituximab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  prednisone drug  vincristine sulf,phase 3
874,phase ii study viper  chemotherapy rel ref dlbcl,drug  bortezomib  dexamethasone  ifosfamide drug  mesna  cisplatin  etoposide  rituximab,phase 2
875,brentuximab vedotin cd30 positive epstein barr virus  ebv  positive dlbcl elderli,drug  brentuximab vedotin,applicable
876,study veltuzumab 90y epratuzumab relapsed refractory  aggressive nhl,drug  veltuzumab 90y epratuzumab tetraxetan drug  90y epratuzumab tetraxetan drug  veltuzumab,phase 1 phase 2
877,revlimid dose 25 mg association r chop  treatment follicular lymphoma,drug  lenalidomide r chop,phase 2
878,study carfilzomib vorinostat relapsed refractory lymphoma,drug  drug  carfilzomib drug  vorinostat,phase 1
879,ph ii chop velcade mediastinal lbcl,drug  bortezomib drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednisone radiation  radiation therapi,phase 2
880,assessment minimal residual disease dlbcl cell free circulating dna ng,next generation sequencing device  fluorine 18 fluorodeoxyglucose positron emission tomography  18f fdg pet ,applicable
881,study brentuximab vedotin relapsed refractory non hodgkin lymphoma,drug  brentuximab vedotin drug  rituximab,phase 2
882,nivolumab gemcitabine  oxaliplatin   rituximab r r elderly lymphoma pati,drug  nivolumab drug  rituximab drug  gemcitabine device  oxaliplatin,phase 2 phase 3
883,incidence hepatitis b virus  hbv  reactivation hbsag negative hbcab positive lymphoma patients treated rchop,drug  nucleoside analog reverse transcriptase inhibitor,phase 2 phase 3
884,lisocabtagene maraleucel  jcar017  second line therapy  transcend nhl 006 ,biological  lisocabtagene maraleucel,phase 2
885,radiolabeled monoclonal antibody treating patients previously treated large cell lymphoma,radiation  iodine 131 monoclonal antibody lym 1,phase 1
886,monoclonal antibody therapy treating patients recurrent refractory lymphoma,biological  monoclonal antibody mono dga rfb4,phase 1
887,rituximab  vaccine therapy  gm csf treating patients non hodgkin lymphoma,biological  autologous immunoglobulin idiotype klh conjugate vaccine biological  rituximab biological  sargramostim,phase 2
888,genes predicting outcome patients dlbcl treated rituximab combination chemotherapy  r chop ,drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  prednisone drug  vincristin,phase 2
889,study investigational sar245409 patients certain lymphoma leukemia,drug  sar245409,phase 2
890,feasibility clinical efficacy atezolizumab consolidation treatment high risk  ipi   2  dlbcl,drug  atezolizumab,phase 2
891,mabrella study  study evaluate safety switching intravenous subcutaneous administration rituximab first line treatment lymphoma,drug  rituximab,phase 3
892,title less intensive therapy children non hodgkin lymphoma,biological  filgrastim drug  cyclophosphamide drug  cytarabine drug  doxorubicin hydrochloride drug  etoposide drug  methotrexate drug  prednisolone drug  prednisone drug  therapeutic hydrocortisone drug  vincristine sulf,phase 3
893,chemotherapy rituximab without total body irradiation peripheral stem cell transplant treating patients lymphoma,biological  filgrastim biological  rituximab drug  carboplatin drug  cyclophosphamide drug  doxorubicin hydrochloride drug  etoposide drug  ifosfamide drug  prednisone drug  vincristine sulfate procedure  peripheral blood stem cell transplantation radiation  radiation therapi,phase 2
894,photodynamic therapy treating patients lymphoma chronic lymphocytic leukemia,drug  aminolevulinic acid hydrochlorid,phase 2
895,study patients lymphoma take r chop enzastaurin compared patients take r chop ,drug  enzastaurin drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednison,phase 2
